DONE32d1fbd42cc406f8f2e3029b5873dd8efaa50b7f3ca573a882c9faf290f8b
,R0003,R0013,R0027,R0028,R0059,R0064,R0090,R0002,R0004
NA18852,0.7999992000000001,1.2713760000000003,1.1559399581480143,4.606347482189097,1.17,1.0228717944767356,1.4224645201571677,0.9992722429437174,1.0012674725652704
NA19120,0.9199990800000001,2.903946890639616,0.9619368655215669,5.111664613392207,1.11,1.3704883808809387,1.2112556021107705,0.9996151590702748,1.0049215914402228
NA10831,1.010988,1.6920616046400008,1.0477743035074578,6.651208718747691,1.11,1.2323998314600157,0.9809199524676274,0.9982135675733289,0.991474648682702
NA07000,0.7999992000000001,2.523066899910798,0.9377595666301343,6.038529325693533,1.0,0.9786011087482527,0.8404519267366236,0.9972942172468295,1.0002905181922386
NA11832,0.9199990800000001,1.9655261064000007,0.8461834357360147,6.361879800675877,1.0,1.2775021531514559,0.9946600167305735,0.9974372095689159,0.9857313756366456
NA18564,0.7999992000000001,1.7869896000000003,0.8499615438203791,5.116914345972456,1.2987,1.1519231174225821,1.063781937319074,0.9969621037734787,1.0091895873453325
NA18961,1.0222212000000002,2.6888397135552005,1.072152966818613,5.991528704174878,1.0,1.4960060779197302,1.32486017342394,0.9982229408427359,1.001625129093347
NA18972,0.9199990800000001,2.688839713555201,1.2865447801814085,5.642393022001906,1.11,1.3302048694626005,1.2119496561006842,0.9967180075502685,1.008108890394713
NA19210,1.0222212000000002,1.844347149057601,1.0643887087715231,5.9091432738269285,1.2987,1.1352827188947063,1.344460997067757,0.9995691538408741,1.0117109423739798
NA19204,1.0222212000000002,2.903946890639616,1.2058521351252791,4.280972329107747,1.11,1.11876602520893,1.0692903235799223,1.000633468556513,0.9961313127273287
NA18507,1.0222212000000002,1.6766792264160009,1.1220344448211372,5.072314277521345,1.0,1.2291509396962106,1.2614267325445991,0.9993140064012708,0.9994334935254215
NA19159,0.7999992000000001,1.6766792264160009,1.2535912001950567,4.160945067543977,1.17,1.1373487288876503,0.9983019097622802,0.9999500996450641,1.0007907885084915
NA06991,0.72072,2.143278032544001,1.3992835077443422,7.207343393140055,1.11,1.437891189434777,0.8645614489441655,0.9984551345350748,1.0034631228009632
NA11840,1.010988,2.545199065699489,0.930155674842424,6.150933108049891,1.11,1.3745275511361204,1.1078138690313282,0.997829369233597,1.002130837013336
NA12802,0.9199990800000001,2.1422431324800004,0.6988845614032606,7.129447577020753,1.2987,1.1462967371336923,1.2385677250414446,0.9989051298082164,0.986008306473177
NA12813,0.9199990800000001,2.523066899910798,1.3928302325193207,6.451061415111125,1.0,1.335099817415017,1.0653446719655022,0.9953356122024813,1.0110943913273607
NA18571,0.9199990800000001,1.8197784000000001,0.9286601562611005,6.458250810737543,1.11,1.3711049882722888,1.2923219025857506,0.9985606868062136,1.0009814332907747
NA18620,0.7999992000000001,3.2239188165526858,1.041934901746668,9.947481049522642,1.2987,1.190739972830704,1.2264282107137578,0.9976830981699982,0.9982491545213464
NA18967,0.9199990800000001,1.9478186640000004,1.5100977648882827,7.708412781210656,1.0,1.1039747607072203,1.1255100979828443,0.999349112918958,1.010877737014638
NA18976,1.010988,2.123122343760001,0.9429534848330546,4.835373357004482,1.17,1.1946887638168773,0.9128222677911978,0.9976804543132912,1.00284213121857
NA19211,0.9199990800000001,2.335045014403201,1.2810248294086628,5.599523700636329,1.11,1.1871118510954795,0.9185048135540709,1.0008924259753027,1.0025508679414201
NA18516,1.0222212000000002,1.4112273600000005,1.201736486455263,4.477987181979948,1.0,1.116975999568595,1.502084931200952,0.9979063248019209,1.004538839469274
NA12761,0.9199990800000001,1.5384944520000006,1.0380564260390344,7.734803101081375,1.11,1.2823684056790676,1.0326317289929243,0.9976592438523005,0.9994096982966456
NA10830,0.7999992000000001,2.142423455976001,1.127129183701644,4.990572023409336,1.2987,1.6483761430910149,1.3673193343047945,0.9969960708509802,1.0017205284134854
NA10855,0.9199990800000001,2.142423455976001,1.0307909898505236,7.206048273033469,1.17,1.1024498310844864,1.0562258536748892,0.9948549811835224,0.9929582402005174
NA18623,0.9199990800000001,2.9577236849107202,0.7260169714629807,7.467180070888786,1.2987,1.1472048403336192,1.498180705412874,0.9969734891457142,1.004199272338398
NA18576,0.9090900000000002,2.2929721312608007,1.0851212047871355,7.060871476324004,1.11,1.1798276475193985,1.194712853065697,0.9988003801198994,0.9981445834174488
NA18981,0.7999992000000001,2.3566658015736013,1.1114164313853325,6.6463322315861095,1.11,1.2191954274800612,1.579887494835456,0.9983391806893201,0.9900592590684498
NA18971,0.7999992000000001,2.313817332454081,0.9870183061111708,6.209877410052278,1.0,1.030917361910154,0.8017160635533827,0.9981943521471022,1.0141274625691679
NA18862,0.9199990800000001,1.6934728320000003,0.8753889744615907,4.739628794808803,1.17,1.3031386661633613,1.337638536457113,1.0016461333925335,1.0035348027318431
NA19205,1.0222212000000002,1.9655261064000007,1.1817350924227739,3.755238885182235,1.11,1.1353876918691765,1.0054613153441907,1.0003741149635539,0.9965061178604149
NA19101,1.0222212000000002,1.5382378224000006,1.1611560323997967,5.679330616662309,1.0,1.1013166467202744,1.2410297848889498,0.9987978731340916,1.0067656442620647
NA19102,0.9199990800000001,1.2831480000000004,1.0209442716788077,7.197172418914589,1.0,1.0957002662434794,1.090576261894382,1.0001581845098504,0.9850744075531539
NA06994,0.9199990800000001,1.6766792264160009,1.2339407761934806,5.240288324542027,1.0,1.4377998033700188,1.2259105145109737,0.9990243572491798,1.0021737892614704
NA11993,0.9199990800000001,2.545199065699489,0.6825430703267329,5.875692344542313,0.87,1.3942138931542023,0.8292620460428441,0.9978663494752604,0.9938523048854567
NA11995,1.11,1.7077288417200007,0.5509900386514641,5.670307783309664,1.2987,1.383451671261872,1.3123238376995991,0.9952192443656989,0.9872063436007581
NA12891,1.010988,2.1424234559760005,0.9935243150753055,8.173127407820823,1.0,1.1292301592298322,1.0485273875974555,0.9982755086468987,0.996060161608853
NA18582,0.7999992000000001,1.5243798240000006,0.7993859681427492,6.4605507576074634,1.11,1.0112808407309128,1.0904385941387276,0.9976428524455798,0.994571925525146
NA18633,0.7999992000000001,2.664615932352,0.7945922971179065,7.736474675147312,1.0,1.218578441974177,1.0542024118791982,0.9993007365986848,0.9983870122652632
NA18994,0.7999992000000001,3.1367858755647755,1.6341755504665543,8.319604875151612,1.2987,1.089172374741902,1.0617256417176357,0.9986858542467775,1.0178284629993122
NA18872,0.9199990800000001,1.3066920000000004,0.9235637137056809,5.9554117958954285,1.0,1.0636883131986439,1.322077147934365,1.0009972669403144,0.9925989536302151
NA19192,0.9199990800000001,2.5706917589760008,1.094542833133085,3.3066530897329702,1.2987,1.2153057575589974,1.1638717146496673,0.9991564579817728,0.9839211669770225
NA19172,1.0222212000000002,2.1043093410432006,1.496447617873543,4.662785613502406,1.17,1.0535579483110378,1.107209824076158,0.9984852983203109,1.0012150275486045
NA12864,0.9199990800000001,2.523066899910798,1.0688318945776203,8.876872009505165,0.87,1.3938344877806659,1.075450078709416,0.9961364527781637,1.005113027136717
NA12751,0.9199990800000001,1.6920616046400008,0.8188452152948474,6.959294027015487,1.17,1.0251886465465758,0.802959842872081,0.9974227169115503,1.002336054332955
NA10839,1.14885,2.1422431324800004,1.0857918189640372,7.004644878345442,1.2987,1.0847715723223814,0.8134780219745228,0.9987421317802689,1.010122287240757
NA18637,0.8791200000000001,2.985110015326561,1.2130444413466017,5.9694215155220185,1.11,1.163442201150649,1.1139858569958947,0.9993659550914782,1.008493002635643
NA18998,0.9199990800000001,2.1036441571200006,0.9104120703458124,5.972089063967997,1.11,1.1744412347949154,0.9192710830665265,0.9959874717907425,1.0065259618974836
NA19000,0.7999992000000001,2.1036441571200006,0.8547603809874895,5.69460910238099,1.17,1.3197155191420744,1.1707718591861298,0.9979411922580403,1.0032242367053792
NA18943,0.9090900000000002,2.9044313662636805,1.0381075908954127,4.7555486901631205,1.2987,1.0573511404206708,0.9009370748728759,0.9973313472017075,1.0030331607514233
NA18947,0.7999992000000001,2.1422431324800004,0.9342910548418837,4.8687100332501965,1.0,1.109815897007258,1.165595555065547,0.9979324603108104,1.004055822677205
NA18944,1.010988,2.7135079678080003,1.352524937656667,6.522671437969075,1.11,1.0618448827674583,0.9937129414072872,0.9994636278989733,0.9980827901991183
NA18521,1.0222212000000002,1.9655261064000007,1.2740718675834248,5.8895402518132,1.2987,1.301835527497198,1.4322822114474516,0.9988759821817946,0.9969855027486402
NA18858,0.7999992000000001,2.335045014403201,1.2065730249886693,4.259578299882071,1.11,1.3676505268556114,1.1039737207620195,0.9993549321457852,0.9979354640920366
NA19141,0.9199990800000001,1.9474937568000004,1.0579903144215759,4.208463360283485,1.2987,1.3337141272745336,0.9680949753658272,0.9996603227034003,0.9914699193599072
NA19093,0.9199990800000001,2.6641714593024006,1.015729448487193,4.2809723291077475,1.0,1.1394229210983875,1.4481697952204844,1.0005166684271753,0.9986723121584095
NA10861,0.9199990800000001,1.5384944520000006,0.9082210222863872,6.326227710280416,0.9657000000000001,1.3870915463844409,0.9697630563901666,0.9967178879441148,0.984232332042625
NA12005,1.010988,2.1620787170400004,1.1781010482281713,7.345292364108175,1.0,1.1638694994708885,0.8175077975924935,0.9990477606678959,1.0085362275720395
NA12234,1.0454535,2.3566658015736013,0.6843777719547393,8.535453855293436,1.129869,1.2552127822507564,1.1533404068205284,0.9976090628543974,0.9916871246342821
NA18948,1.161615,3.1367858755647755,0.7408793819274646,5.10500317387771,1.11,1.094326961551453,0.7642958106406121,0.9968234658941153,0.9992145945924178
NA18951,0.9199990800000001,2.545199065699489,0.9503821777296683,7.5342323000967655,1.11,1.0869988287045853,1.0572147872996893,0.9986936640006938,1.005113027136717
NA18952,0.9199990800000001,2.3566658015736013,0.7430427874180149,7.823013246214155,1.11,1.1129439940319041,1.006618663076053,0.9967869628871684,1.0053763007126941
NA18956,0.9199990800000001,3.194341579703578,0.7910163814367364,6.6648980191421145,1.0,1.0489594647030462,1.0653189103244407,1.000212701617782,1.0083921583776763
NA19099,0.9199990800000001,2.594494460448001,1.3771087947414757,5.009128169900124,1.2987,1.3281202067190465,1.4670433265976328,0.9990491053870868,1.0030809263278275
NA18854,0.7999992000000001,1.7392423680000002,1.5613853847590464,5.908101280655737,1.2987,1.1355458996178986,1.312534287853897,1.0001203812452406,1.0177557926414167
NA19132,0.9199990800000001,2.314740275147521,0.7601041573354086,4.388169342897379,1.17,1.370156062620811,1.1819183383259895,0.9986247365427184,0.9877538025392459
NA07345,1.0454535,2.545199065699489,0.6562019288101016,8.737767862396613,1.17,1.1992541445643672,1.1027260683898008,0.9991515641254266,0.9974793721308639
NA07029,0.7999992000000001,2.523066899910798,0.9118763431051281,5.590226143582375,1.0,1.2443648783673942,1.0253128712163326,0.9998975902442371,1.002794377013318
NA12892,1.0454535,1.3066920000000004,0.7262997574923071,6.225420099033682,1.17,1.3513088870552186,0.9036943474020233,0.9989433686284719,0.9822124989448091
NA18968,0.7999992000000001,1.9835584560000006,0.9244516611242247,7.326264559126862,1.17,1.193454836153361,0.9328093303876237,0.9974809381747075,0.9912102873883175
NA18959,0.9199990800000001,2.335045014403201,1.1484369576117814,6.079068314052001,1.11,1.1345545570228148,0.8950757853307961,0.9976015010063605,1.0036972982062196
NA18969,0.9199990800000001,2.3161334659200006,1.18599881215543,6.709033479053902,1.11,1.1715199937177938,0.9901543694580379,0.9971243227039148,1.0034870155423592
NA18960,0.9199990800000001,1.9663101216000003,0.772765237867379,7.188033152350884,1.0,1.2539813524989007,0.9352897461372487,0.9985209548669577,0.9967766362277252
NA19206,0.9199990800000001,2.1620787170400004,1.010145822651436,5.403666954603995,1.2987,1.239843359521141,1.3909306462920816,1.0002725571369486,0.9991004048785274
NA18506,1.0222212000000002,2.501424143193601,0.9779199289725506,3.8690116621654287,1.0,1.0814561627823138,1.1547092455800267,0.999663497629627,0.9990956471737275
NA19098,1.010988,1.3857998400000004,1.1491171666558755,4.695759117789994,1.0,1.2779087258222288,1.3931959588749487,0.9988616683915285,0.9940510952248051
NA19130,0.9199990800000001,2.9305886052326406,1.127486581691895,4.8375178836100705,1.17,1.38567562967315,1.251751235415933,0.9985214641127745,0.9892769066963121
NA07048,1.010988,2.1422431324800004,0.8139028900751712,6.051424492315851,1.17,1.0479188250729494,0.8198677504924538,1.0012569192617256,0.9945198312120489
NA12248,0.8791200000000001,1.6920616046400008,1.4022071054197929,7.6781684243401935,1.2987,1.244188746192269,1.083591935992616,1.0012300859358576,0.9941410410369882
NA10846,0.8791200000000001,1.3857998400000004,0.7433314079921088,6.099903193817585,0.9657000000000001,1.2836676644487528,1.0886400679735797,0.9997780766286353,1.0016966777316474
NA18965,0.9199990800000001,2.6641714593024006,0.999256675618119,5.969942953460131,1.0,1.1666135778671813,1.399135411599629,0.996254960219269,1.0046297342554873
NA18973,0.7999992000000001,2.3369925081600007,1.0757096940483504,5.850720719922097,1.2987,1.4138099787849816,1.0524080636784678,0.9968362153477767,1.0098914602708333
NA18966,0.9199990800000001,1.9124037792000004,0.9625153903186711,8.383799415078414,1.17,1.2648638195251274,0.9120282091730458,0.9973880072049542,0.9947092853925416
NA18975,0.9199990800000001,2.1620787170400004,1.1757555400139779,7.607353893232141,1.11,1.14833457188544,1.4669302232789725,0.9990653200856492,0.9890696748926485
NA19128,0.9199990800000001,2.4668254252799997,0.9697418993909647,4.4234082344929195,1.17,1.1585926474655581,1.4552740766706214,0.9995162590404043,1.0046058143062828
NA19131,1.0222212000000002,2.827998961888321,1.1673485728400548,4.599517907167538,1.17,1.3031386661633613,1.1770194658538882,1.0000369100811604,0.9929109566549492
NA18522,1.0222212000000002,1.4112273600000005,1.133650291512091,5.404638138456368,1.2987,1.2517649302857674,1.392969302001023,1.0002867140946312,0.9957329398821184
NA19208,0.9199990800000001,2.1620787170400004,1.1084251828010894,5.062895164674015,1.2987,1.172824799547025,0.9809235226371829,0.9988000704918296,0.9964444360407914
NA12801,0.9199990800000001,2.314740275147521,1.1611055617565167,7.932196214392996,1.11,1.1978465651573984,1.229155734429015,0.995421533280827,0.9975078705236232
NA12872,1.0454535,3.1367858755647755,0.9525351050559729,7.35617427872167,0.87,1.0999068264982648,1.3446237443212057,0.996074166313178,1.0075857672504325
NA12155,0.9199990800000001,1.6920616046400008,1.3032044524789677,5.244419613310493,1.11,1.294635202321813,1.2360670588993756,0.9976351806015428,1.0044240473300472
NA06993,0.72072,1.7077288417200007,1.0250363968074303,7.41524752948063,1.0,1.2920558980679535,0.868871581642069,0.9942383125548884,1.002937636422134
NA18978,1.0222212000000002,2.545199065699489,0.7187139422440804,6.0943268566827316,1.11,1.1790908250745642,0.8895785438475505,0.9977419731867115,1.0039888845069158
NA18970,0.7999992000000001,1.9299487680000005,0.9922595816074209,4.988674323210795,1.2987,1.166358096391628,1.2292421022279736,0.9999630912811436,0.9940274271499974
NA18980,0.9199990800000001,1.7869896000000003,1.1587709075149883,7.711857430659857,1.17,1.0341891690104352,1.060567718783517,0.9983289078320048,0.985163560821162
NA18995,0.9199990800000001,2.594494460448001,0.9428857641588465,9.935577256882931,1.17,1.2913416354805196,1.1410356448202288,0.9964297186651591,1.0083249411967723
NA18859,0.9199990800000001,2.8777852069401604,0.9931360910733859,4.739644717021677,1.17,1.4163488377863036,0.9288692783149413,1.0005677791255814,0.9958514889451043
NA19116,0.9199990800000001,2.6888397135552,0.9409941257636403,6.052491762949414,1.11,1.2550259898177094,1.0998100986737076,0.999751593857916,0.9982919403970041
NA18914,0.9199990800000001,1.9835584560000004,1.20133449826475,4.1505944947319335,1.17,1.0739160854409386,1.2672624383023825,0.9998857345287963,0.9898895576557839
NA19127,0.9199990800000001,2.314740275147521,1.0868736456657158,5.261090949498969,1.2987,1.3156688456457013,1.4759653296367659,1.0002988566487527,1.0170969073601834
NA11830,1.0454535,2.523066899910798,0.6245472786092562,5.87514910375602,1.11,1.1111632836414531,0.8500376282110866,0.9981919564835319,0.9932845500943853
NA12865,0.9199990800000001,1.5523500960000007,1.2044823004116278,7.160728996130622,1.2987,1.3204454757976016,0.9090218526869256,0.9956037817825324,1.0044862231028973
NA10838,1.0454535,1.6920616046400008,1.331436391341869,5.603938199980737,1.11,1.4592297971600785,1.0171350904194731,0.9971647569149985,0.9997666942200273
NA12249,0.9199990800000001,1.7077288417200007,1.2698291760311138,9.317365244915736,1.2987,1.1867427743680776,1.267208282823701,0.9988586418452585,0.9894135352711128
NA18974,0.7999992000000001,2.1036441571200006,1.1115799364469559,8.304998479929308,1.0,1.303546917625192,0.9832156604769007,0.9969745658776639,1.0033675575240384
NA18987,0.9199990800000001,2.545199065699489,1.0708998108957053,4.825853588152392,1.0,1.1128410961034618,1.2331040776454754,0.9979801825820929,1.0016966777316474
NA18990,0.9199990800000001,2.1620787170400004,1.4063659526209813,6.33865357350166,1.0,1.0747417841775897,1.0227799522095484,0.9969379676131158,1.00691427397656
NA18991,0.9199990800000001,3.194341579703578,1.1006590480062262,6.798158748144781,1.0,1.108860570976878,1.047173130744895,0.9975829557668353,1.0048546055996002
NA19094,1.0222212000000002,1.4242942800000005,0.8233050448070913,4.6772961068419345,1.17,1.1394229210983873,1.3917495023116682,1.000830987078605,1.0035156855759426
NA19161,0.7999992000000001,1.6766792264160009,1.1270020815617434,3.4055117481562935,1.2987,1.1828426780431562,1.2579532636615236,1.0001501092652685,0.9935258084750406
NA18853,1.010988,2.6161683699456,1.1606479517416568,5.743466359607481,1.2987,1.1965046907378794,1.0895059338541915,0.9992463641262759,1.0062623872646674
NA19173,1.0222212000000002,2.903946890639616,0.917077051007503,5.964368911900077,1.17,1.3018355274971987,1.0547502676219456,0.999043108113308,1.0062575974671037
NA12057,0.9199990800000001,1.9835584560000006,0.6625048026119094,8.289223623042298,1.11,1.2386429917004416,1.394761135289979,0.9966461567389978,0.9916304612508688
NA10860,0.9199990800000001,1.844347149057601,1.1365000758677404,6.799380559566089,1.0,1.236466764839892,1.075995008854091,0.9967288718357611,1.0048498225030613
NA12812,0.9090900000000002,2.1620787170400004,1.9900060808697801,6.663001055976208,1.11,1.1649710079114821,1.2533028933141468,0.9994452469324153,1.003200350220673
NA11881,0.9199990800000001,2.1620787170400004,1.3227944851458524,6.421177851628037,1.0,1.2037254330606422,0.6892951760719476,1.0008189021173992,0.9941173708205961
NA18992,0.9199990800000001,2.313817332454081,1.3002953707919869,7.325600045334654,1.0,1.1387587240882944,0.9286092146450285,0.9975626252333656,1.022419012071673
NA18997,0.7999992000000001,2.142243132480001,1.5795080149155998,6.780548279768635,1.2987,0.9575141755972767,0.8343022013570459,0.9979510419862162,1.0080656837735953
NA19171,1.0222212000000002,2.547321833894401,0.8023535986096754,5.671443656668644,1.0,1.538615254011376,0.8603709775686363,0.9998176036362397,1.0039362969464256
NA19140,0.9199990800000001,2.0304739255680007,1.0861109273178806,4.38777132300233,1.2987,1.3845787580168192,1.4671222679062834,1.0005525145799814,1.00971834941642
NA19119,0.9199990800000001,2.1043093410432006,1.0267678639466955,4.970976596509851,1.11,1.2409696987317511,1.3113605183531765,1.0000074803379775,1.004012789766847
NA11994,0.9199990800000001,1.5667237080000007,1.255167057529799,7.192783103456939,0.9657000000000001,1.2241661371051595,0.850987025125721,0.9991949112579905,0.9892298182362675
NA12873,1.010988,1.844347149057601,0.8130471570174025,7.713270117494562,0.9657000000000001,1.2911891546701322,0.9761694251418758,0.9974791626602177,1.002622482707608
NA12815,0.9199990800000001,2.9044313662636805,0.79431726380176,7.787449071676651,1.2987,1.2814087707823096,1.3345084097841053,0.9987763992106647,0.9979354640920366
NA19005,0.7999992000000001,3.481832321876901,1.1941847314214258,5.781418625823041,1.17,1.3232508484870678,1.1552286032549375,0.9992222306195269,1.0005763560293446
NA18999,0.7999992000000001,2.1620787170400004,0.7070476559213774,5.9141490940819965,1.11,1.299979931143561,1.0649595717110747,0.9979485271527592,0.9926745826255421
NA19007,0.9199990800000001,2.1620787170400004,1.1621662171876457,6.645137922110532,1.0,1.1960151899786957,1.0426578910024384,0.9976013912702013,0.9986790332456867
NA18860,1.0454535,2.9305886052326406,1.2814168404484925,4.644157369242851,1.2987,1.2396499373061158,1.002016481461641,0.9994995292772723,0.9964681517005843
NA19207,0.8888880000000002,2.3373823968000007,1.2459555761946686,4.387771323002331,1.2987,1.2216924995281513,1.0607347681812949,0.9990421500314267,0.9975316214687743
NA19103,0.9199990800000001,1.4112273600000005,0.9408265868590578,6.737589408557396,1.0,1.0803391867827454,0.828669615735696,0.9977301001278754,0.9911678050258036
NA12740,1.0454535,1.6920616046400008,1.019957606066821,6.502866219374484,0.87,1.360593458945367,0.825813229348873,0.9988081907694115,1.0022167433505778
NA12752,1.010988,1.844347149057601,0.9332688156760112,9.678326739506208,1.11,1.446131853230548,1.3581621703088231,0.9989262668643925,1.0021260668819048
NA12043,0.7999992000000001,2.903946890639616,1.019292970210138,5.641458848973525,1.11,1.1816633428207464,0.9542549994405809,1.0006727461922786,0.9957519087753013
NA12264,0.7999992000000001,2.545199065699489,1.3072071259360576,6.053071736075666,1.11,1.1889778934730602,1.123913346980408,0.9997087144318811,0.9961075951231319
NA12753,1.010988,2.335045014403201,0.4788995049447558,6.882075728533783,1.0,1.2986440781546453,0.8920619694985964,0.9967621432007989,0.9927691294550399
NA12707,0.9199990800000001,2.1620787170400004,1.266539740942341,7.797544735444964,1.2987,1.298928535823634,0.9735216844326628,0.9986863935372844,0.9926745826255421
NA11839,0.7999992000000001,1.5667237080000007,0.9471188281195271,8.021045598089001,1.2987,1.1949645283088997,1.0048150042155615,0.9988836935341429,0.9924193590988609
NA10859,0.9199990800000001,2.1620787170400004,0.7480394745154731,7.424250108590744,1.0,1.2003367474427136,1.1734246853038226,0.9984030464894347,0.9828206766932499
NA18526,0.9199990800000001,2.664615932352,0.6230844452968057,6.2706724515965035,1.11,1.1779399232833674,1.0507289405439186,0.9988228433930468,1.0019399793297186
NA18524,0.9199990800000001,2.8777852069401604,0.66482444024217,5.288548990485973,1.0,1.2256461969376278,0.920544953345983,0.9982615528528391,1.000819383511407
